#DB,#Model,#Mment,#Shots,#Temp,#Deviation
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),39,25.0,0.0063530225543559
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),40,25.0,0.0053398774040622
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),41,300.0,0.0048453976581104
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),42,300.0,0.0095619191355799
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),43,300.0,0.0040594252729168
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),44,300.0,4.834504350181845e-07
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),45,300.0,0.0020260739239222
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),1,100.0,0.0022987133831284
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),2,100.0,0.0042743831128138
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),3,100.0,0.0008966675464441
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),4,100.0,0.0042431241724525
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),5,100.0,0.0023759475008793
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),6,100.0,0.0003284795869308
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),7,100.0,0.0007150850540538
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),8,100.0,9.777465409699372e-05
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),9,100.0,0.0002885637486444
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),10,100.0,8.194012315898558e-05
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),11,200.0,0.0014070351912447
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),12,200.0,8.252153176790955e-05
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),13,200.0,0.0013674207034497
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),14,200.0,0.0002110854053209
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),15,200.0,0.0002888601847561
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),16,200.0,0.0028031315846978
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),17,200.0,0.0031245131705698
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),18,200.0,0.0041473520118644
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),19,200.0,0.0030620881293983
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),20,200.0,0.0031085167188796
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),21,21.0,0.007549056470729
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),22,21.0,0.0051141690988305
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),23,21.0,0.007155239403995
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),24,21.0,0.0064595636389411
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),25,21.0,0.0097402849645592
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),26,22.0,0.0026967115878517
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),27,22.0,0.0036132568633755
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),28,22.0,0.0058542504969771
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),29,22.0,0.0008733741470519
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),30,22.0,0.0014826399943288
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),31,25.0,0.0052320883218905
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),32,25.0,0.0059916336484939
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),33,25.0,0.0076424878410132
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),34,25.0,0.0059794607209013
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),35,25.0,0.0037311036031613
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),36,25.0,0.0042342582414038
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),37,25.0,0.0030657723553504
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),38,25.0,0.0015624651794208
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),39,25.0,0.0031736111226792
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),40,25.0,0.0031890280617867
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),41,300.0,0.0091541225775816
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),42,300.0,7.298547632061947e-05
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),43,300.0,0.0078196833281098
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),44,300.0,0.0014878616466051
test_8mm_CEA.db,standard,Pyro-rd_21606 (B),45,300.0,0.0049503562173917
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),1,100.0,0.0003520825184513
